t`s	v(l3bl3)`V`float	v(l3bl5)`V`float	v(l3bl2)`V`float	v(l3bl6)`V`float	v(l3bl1)`V`float	v(l3bl7)`V`float	v(l3bl0)`V`float	v(l3bl8)`V`float	v(l3bl4)`V`float	v(l3bl9)`V`float
0	0.619436	0.64671	0.602826	0.578414	0.643547	0.643012	0.593779	0.556346	0.598314	0.580939
7.68e-10	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.598344	NULL
1.024e-09	0.619459	NULL	NULL	NULL	NULL	0.643066	NULL	NULL	NULL	NULL
1.536e-09	NULL	NULL	0.602831	0.578542	NULL	NULL	NULL	NULL	NULL	NULL
2.048e-09	NULL	0.646727	NULL	NULL	NULL	NULL	0.593795	0.556453	NULL	0.580953
4.096e-09	NULL	NULL	NULL	0.578621	NULL	0.643159	NULL	NULL	0.598457	NULL
5.12e-09	0.619519	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
7.168e-09	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.556454	NULL	NULL
1.024e-08	NULL	NULL	0.602832	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1.536e-08	NULL	0.64672	NULL	NULL	NULL	NULL	0.593771	NULL	NULL	NULL
1.6384e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.580917
2.048e-08	NULL	NULL	NULL	0.57846	NULL	0.643038	NULL	NULL	0.598333	NULL
2.1248e-08	NULL	NULL	NULL	0.578151	NULL	0.642861	NULL	NULL	0.598149	NULL
2.2272e-08	0.619483	0.646832	0.602941	0.578297	NULL	0.643018	0.59387	0.556329	0.598282	NULL
2.2528e-08	NULL	NULL	NULL	NULL	0.643675	NULL	NULL	NULL	NULL	0.581057
2.2656e-08	0.619754	NULL	NULL	0.578861	NULL	0.643449	NULL	0.556745	0.598696	NULL
2.2784e-08	NULL	0.647052	0.603145	0.579221	NULL	0.643707	0.594072	0.557036	0.598959	0.581213
2.2912e-08	0.620263	NULL	NULL	0.579929	0.64399	0.64416	NULL	0.557613	0.599468	NULL
2.304e-08	NULL	NULL	NULL	0.580899	NULL	NULL	NULL	0.558388	0.60018	NULL
2.3168e-08	0.621106	NULL	NULL	NULL	0.644432	0.645336	NULL	NULL	0.600721	NULL
2.3232e-08	NULL	NULL	NULL	0.581815	NULL	NULL	NULL	0.559086	NULL	NULL
2.3296e-08	0.621269	0.647752	0.603889	0.581973	NULL	0.645568	0.594831	NULL	0.600956	0.581985
2.3424e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.559335	NULL	NULL
2.3552e-08	NULL	NULL	NULL	0.582212	0.644573	NULL	NULL	NULL	NULL	NULL
2.4064e-08	NULL	0.64805	NULL	NULL	NULL	0.646004	0.595116	NULL	NULL	NULL
2.432e-08	NULL	NULL	0.604257	0.582437	NULL	NULL	NULL	NULL	0.601515	NULL
2.4576e-08	0.621967	NULL	NULL	NULL	NULL	NULL	NULL	0.560011	NULL	0.582381
2.4704e-08	NULL	NULL	NULL	0.582344	NULL	0.646071	NULL	NULL	NULL	NULL
2.4832e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.601633	NULL
2.4896e-08	NULL	NULL	0.60437	0.581922	NULL	0.645733	NULL	0.560229	NULL	0.582491
2.496e-08	0.622232	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.5088e-08	NULL	NULL	NULL	0.581144	NULL	NULL	NULL	0.560068	NULL	NULL
2.512e-08	NULL	NULL	NULL	NULL	NULL	0.644915	NULL	NULL	0.601126	NULL
2.5248e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.582485
2.528e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.596051	0.55986	NULL	NULL
2.5312e-08	0.622186	NULL	NULL	0.580097	NULL	0.644184	NULL	NULL	NULL	NULL
2.5376e-08	NULL	NULL	NULL	NULL	0.645202	NULL	NULL	NULL	NULL	NULL
2.5408e-08	NULL	0.648802	NULL	0.57973	NULL	NULL	NULL	NULL	NULL	NULL
2.544e-08	NULL	NULL	NULL	NULL	NULL	0.643773	NULL	NULL	NULL	NULL
2.5472e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.596378	NULL	NULL	NULL
2.5536e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.600028	NULL
2.5568e-08	NULL	NULL	0.604034	0.579072	0.645111	NULL	NULL	NULL	NULL	NULL
2.56e-08	NULL	0.648925	NULL	NULL	NULL	0.643369	NULL	NULL	NULL	NULL
2.5632e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.596744	NULL	NULL	NULL
2.5648e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.560301	NULL	NULL
2.5696e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.583435
2.5728e-08	0.623192	NULL	NULL	NULL	NULL	0.643239	NULL	NULL	NULL	NULL
2.576e-08	NULL	0.649381	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.5792e-08	NULL	NULL	NULL	NULL	0.645369	NULL	0.597298	0.560713	0.600006	0.583901
2.5824e-08	0.623785	NULL	NULL	0.57868	NULL	0.643362	NULL	NULL	NULL	NULL
2.5856e-08	NULL	NULL	0.604527	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.5888e-08	NULL	0.650172	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.592e-08	NULL	NULL	NULL	NULL	NULL	0.643824	0.598229	0.561651	0.600543	NULL
2.5952e-08	NULL	NULL	NULL	0.579118	0.646329	NULL	NULL	NULL	NULL	0.585247
2.608e-08	NULL	0.651721	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.6112e-08	0.626042	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.6144e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.599917	NULL	0.601619	NULL
2.6176e-08	NULL	NULL	NULL	0.579921	NULL	0.645361	NULL	0.563576	NULL	0.5871
2.6208e-08	NULL	0.652704	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.624e-08	0.626756	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.6304e-08	NULL	NULL	NULL	NULL	0.648704	NULL	NULL	NULL	NULL	NULL
2.6336e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.600797	NULL	NULL	NULL
2.6368e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.56451	NULL	0.588224
2.64e-08	NULL	0.653825	0.607262	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.6432e-08	0.627418	NULL	NULL	NULL	0.649269	NULL	NULL	NULL	0.602412	NULL
2.6496e-08	NULL	NULL	NULL	0.580446	NULL	NULL	NULL	NULL	NULL	0.588575
2.6528e-08	NULL	0.654257	0.607477	NULL	NULL	0.646978	0.601443	NULL	NULL	NULL
2.656e-08	0.627574	NULL	NULL	NULL	0.6495	NULL	NULL	NULL	NULL	NULL
2.6592e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.56533	NULL	NULL
2.6624e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.602683	0.588488
2.6672e-08	NULL	0.654397	0.607384	0.58022	NULL	NULL	NULL	NULL	NULL	NULL
2.6688e-08	NULL	NULL	NULL	NULL	NULL	0.647518	NULL	0.565505	NULL	NULL
2.6784e-08	0.62757	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.6816e-08	NULL	NULL	0.607252	0.580052	NULL	NULL	NULL	NULL	NULL	NULL
2.6848e-08	NULL	0.654448	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.587985
2.6864e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.60276	NULL
2.6896e-08	0.627908	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.6912e-08	NULL	NULL	NULL	NULL	NULL	NULL	0.602303	NULL	NULL	NULL
2.6944e-08	NULL	NULL	NULL	NULL	NULL	0.648172	NULL	NULL	0.602853	NULL
2.7008e-08	NULL	NULL	0.607503	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.704e-08	NULL	NULL	NULL	NULL	0.649655	NULL	NULL	NULL	NULL	0.588008
2.7072e-08	0.628683	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.7104e-08	NULL	NULL	NULL	NULL	NULL	0.648837	0.603216	0.566138	0.603132	0.588236
2.7136e-08	NULL	NULL	0.608017	0.580175	0.65011	NULL	NULL	NULL	NULL	NULL
2.7184e-08	NULL	0.655069	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.72e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.566417	0.603469	NULL
2.7232e-08	0.629767	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2.7424e-08	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.590044
2.7456e-08	NULL	0.655825	NULL	NULL	NULL	0.650893	NULL	NULL	NULL	NULL
2.752e-08	0.631721	NULL	NULL	0.581238	NULL	NULL	0.60636	NULL	NULL	NULL
